E.C,TDS,Cl,NO3 ,Na,T.H,Mg,SAR,Ca,K,Classification
2870,1836.8,420,256.66055,243.8144868,899.7532895,145.86,3.5340277,120.0,15.3,Bad
1169,748.16,80,104.5244,13.34107229,559.8848684,68.068,0.245139636,112.0,1.14,Poor
1287,823.68,150,85.4797,21.71424667,599.8273026,102.102,0.385481745,72.0,2.27,Poor
3730,2387.2,620,664.35,218.9643425,1399.712171,170.17,2.544639075,280.0,6.2,Bad
1012,647.68,130,13.46416,77.89601718,339.9177632,48.62,1.836963329,56.0,1.41,Poor
1705,1091.2,20,143.0567,375.8479706,40.0,5.0,25.83773133,8.0,3.1,Bad
430,275.2,40,0.8858,33.75748878,139.9917763,4.862,1.24048362,48.0,2.95,Moderate
1764,1128.96,310,34.878375,115.1167124,639.9013158,58.344,1.978581939,160.0,0.52,Poor
1409,901.76,200,39.19665,114.6073525,459.9177632,48.62,2.323510034,104.0,1.94,Poor
1830,1171.2,320,48.719,175.8569102,539.9342105,38.896,3.290494579,152.0,1.5,Poor
2530,1619.2,310,284.3418,483.7845573,219.9342105,38.896,14.18331574,24.0,4.7,Bad
1450,928.0,80,29.6743,289.6110546,99.97532895,14.586,12.59333853,16.0,2.1,Poor
1163,744.32,60,94.55915,102.959453,359.9095395,53.482,2.359618061,56.0,2.8,Poor
1161,743.04,130,58.68425,112.0377129,339.8930921,63.206,2.64219721,32.0,2.23,Poor
1480,947.2,180,198.19775,94.43889745,539.8601974,82.654,1.767186632,80.0,1.75,Poor
823,526.72,60,133.7558,23.38753429,359.9259868,43.758,0.535981746,72.0,3.79,Poor
745,476.8,20,14.1728,152.4908123,39.99177632,4.862,10.48408406,8.0,3.7,Moderate
3450,2208.0,370,134.6416,696.9715615,159.9588816,24.31,23.95979194,24.0,52.5,Bad
1241,794.24,150,7.5293,57.93682515,499.9753289,14.586,1.126555441,176.0,0.61,Poor
406,259.84,60,1.660875,37.61758289,119.9917763,4.862,1.493094547,40.0,2.55,Moderate
2740,1753.6,440,558.054,219.6721916,859.8601974,82.654,3.257116733,208.0,36.2,Bad
1292,826.88,210,24.58095,96.02446958,439.9259868,43.758,1.990509581,104.0,2.96,Poor
2810,1798.4,770,20.28482,98.93572639,1199.777961,131.274,1.241866382,264.0,3.28,Bad
2670,1708.8,520,37.95653,332.9725306,619.8930921,63.206,5.814631174,144.0,3.6,Bad
1320,844.8,200,77.0646,94.19945782,459.9259868,43.758,1.909750325,112.0,1.48,Poor
1497,958.08,170,2.6574,216.7556348,279.9177632,48.62,5.632838903,32.0,3.8,Poor
1926,1232.64,320,106.296,176.2833391,579.9424342,34.034,3.182665443,176.0,7.4,Poor
1411,903.04,210,25.001705,150.5274091,379.9506579,29.172,3.357562844,104.0,4.2,Poor
1620,1036.8,320,45.84015,97.78230805,599.9671053,19.448,1.735676279,208.0,4.35,Poor
1767,1130.88,350,9.96525,247.0493225,339.9259868,43.758,5.825908343,64.0,12.0,Poor
1352,865.28,200,58.9057,143.7238086,359.9588816,24.31,3.293627153,104.0,8.1,Poor
487,311.68,80,2.546675,37.38850751,159.9753289,14.586,1.285238679,40.0,3.66,Moderate
781,499.84,90,60.89875,77.82966687,219.9671053,19.448,2.281594524,56.0,4.1,Poor
2270,1452.8,510,12.22404,239.8172365,619.8930921,63.206,4.187879333,144.0,4.0,Bad
809,517.76,20,46.5045,37.40802198,319.9342105,38.896,0.909298695,64.0,5.7,Poor
2020,1292.8,330,117.58995,374.3006246,159.9835526,9.724,12.86634071,48.0,36.3,Poor
1715,1097.6,260,217.9068,109.7419942,619.9095395,53.482,1.916376568,160.0,5.94,Poor
691,442.24,40,3.63178,104.575608,119.9671053,19.448,4.151179114,16.0,1.29,Moderate
2380,1523.2,430,96.77365,284.1420921,579.8519737,87.516,5.130375677,88.0,3.4,Bad
1310,838.4,220,9.07945,87.13108243,459.9095395,53.482,1.766481381,96.0,9.56,Poor
4850,3104.0,950,420.755,366.6563255,1399.613487,228.514,4.261154552,184.0,197.5,Bad
2260,1446.4,440,376.465,71.86106115,979.7861842,126.412,0.998159936,184.0,4.14,Bad
1248,798.72,270,83.04375,58.30705248,499.9177632,48.62,1.133819619,120.0,2.79,Poor
920,588.8,140,2.87885,101.9702086,239.9588816,24.31,2.862048949,56.0,2.32,Poor
879,562.56,20,14.83715,83.4421257,259.9671053,19.448,2.250081889,72.0,1.98,Poor
1170,748.8,60,29.2314,150.7620236,259.9095395,53.482,4.06586554,16.0,2.5,Poor
1704,1090.56,350,192.88295,180.0455177,459.9095395,53.482,3.650213517,96.0,7.2,Poor
1596,1021.44,190,144.16395,111.6911638,559.8355263,97.24,2.052394078,64.0,2.61,Poor
1878,1201.92,240,42.0755,215.3232932,479.8355263,97.24,4.273827386,32.0,0.36,Poor
957,612.48,120,55.3625,100.1396797,259.9506579,29.172,2.70042986,56.0,4.41,Poor
3500,2240.0,720,310.03,422.9361745,839.7615132,140.998,6.345546243,104.0,6.5,Bad
645,412.8,50,32.21090909,53.0,239.9342105,38.896,1.48765404,32.0,3.0,Moderate
654,418.56,40,46.10186364,61.0,239.9342105,38.896,1.712205593,32.0,2.0,Moderate
590,377.6,40,44.29,59.0,199.9424342,34.034,1.814143713,24.0,2.0,Moderate
918,587.52,90,27.17795455,87.0,299.9095395,53.482,2.184219483,32.0,5.0,Poor
554,354.56,60,34.42540909,63.0,179.9506579,29.172,2.04190717,24.0,1.0,Moderate
441,282.24,70,27.58059091,57.0,119.9753289,14.586,2.262564897,24.0,3.0,Moderate
446,285.44,20,7.650090909,41.0,139.9588816,24.31,1.506800616,16.0,3.0,Moderate
620,396.8,70,43.88736364,69.0,219.9424342,34.034,2.022864259,32.0,2.0,Moderate
